"Data compiled by Iraq Body Count as of 20 May 2016"
"The reports from which this data is derived have all been in the public domain."
"This derivation is copyrighted to Iraq Body Count (IBC)."
"Permission to use it for commercial use must be obtained from admin AT iraqbodycount.org"
"For a detailed explanation of IBC figures and how they are derived, see"
"http://www.iraqbodycount.org/about/"

Maximum recorded killed from 2003 to 2016 by month
"dataset 1: any perpetrators, in Iraq, any weapons, killing 1 or more"
"dataset 2: preliminary data, any perpetrators, in Iraq, any weapons, killing 1 or more"
"dataset 3: anti-government/occupation forces, in Iraq, any weapons, killing 1 or more"

"Month starting","dataset 1","dataset 2","dataset 3"
"1 Jan 2003",3,,
"1 Feb 2003",2,,
"1 Mar 2003",3977,,20
"1 Apr 2003",3435,,196
"1 May 2003",545,,91
"1 Jun 2003",597,,33
"1 Jul 2003",646,,28
"1 Aug 2003",833,,58
"1 Sep 2003",566,,46
"1 Oct 2003",515,,72
"1 Nov 2003",487,,62
"1 Dec 2003",524,,94
"1 Jan 2004",610,,51
"1 Feb 2004",663,,195
"1 Mar 2004",1004,,58
"1 Apr 2004",1303,,245
"1 May 2004",655,,105
"1 Jun 2004",909,,263
"1 Jul 2004",834,,174
"1 Aug 2004",878,,182
"1 Sep 2004",1042,,396
"1 Oct 2004",1033,,313
"1 Nov 2004",1676,,290
"1 Dec 2004",1129,,209
"1 Jan 2005",1222,,217
"1 Feb 2005",1297,,290
"1 Mar 2005",905,,139
"1 Apr 2005",1145,,235
"1 May 2005",1396,,424
"1 Jun 2005",1347,,330
"1 Jul 2005",1536,,397
"1 Aug 2005",2352,,225
"1 Sep 2005",1444,,250
"1 Oct 2005",1311,,212
"1 Nov 2005",1487,,318
"1 Dec 2005",1141,,177
"1 Jan 2006",1546,,268
"1 Feb 2006",1577,,155
"1 Mar 2006",1957,,252
"1 Apr 2006",1804,,208
"1 May 2006",2277,,234
"1 Jun 2006",2584,,219
"1 Jul 2006",3298,,302
"1 Aug 2006",2865,,265
"1 Sep 2006",2565,,388
"1 Oct 2006",2996,,356
"1 Nov 2006",3084,,261
"1 Dec 2006",2898,,266
"1 Jan 2007",3017,,211
"1 Feb 2007",2679,,325
"1 Mar 2007",2726,,446
"1 Apr 2007",2565,,306
"1 May 2007",2844,,354
"1 Jun 2007",2199,,360
"1 Jul 2007",2694,,310
"1 Aug 2007",2481,,236
"1 Sep 2007",1387,,177
"1 Oct 2007",1324,,228
"1 Nov 2007",1124,,163
"1 Dec 2007",996,,232
"1 Jan 2008",858,,98
"1 Feb 2008",1092,,191
"1 Mar 2008",1667,,478
"1 Apr 2008",1315,,329
"1 May 2008",914,,255
"1 Jun 2008",750,,188
"1 Jul 2008",639,,101
"1 Aug 2008",704,,111
"1 Sep 2008",612,,144
"1 Oct 2008",594,,111
"1 Nov 2008",540,,119
"1 Dec 2008",586,,145
"1 Jan 2009",372,,67
"1 Feb 2009",407,,52
"1 Mar 2009",438,,97
"1 Apr 2009",589,,107
"1 May 2009",428,,80
"1 Jun 2009",563,,72
"1 Jul 2009",431,,84
"1 Aug 2009",652,,209
"1 Sep 2009",350,,91
"1 Oct 2009",441,,219
"1 Nov 2009",226,,33
"1 Dec 2009",478,,65
"1 Jan 2010",267,,67
"1 Feb 2010",305,,52
"1 Mar 2010",336,,69
"1 Apr 2010",385,,85
"1 May 2010",387,,45
"1 Jun 2010",385,,72
"1 Jul 2010",488,,69
"1 Aug 2010",520,,232
"1 Sep 2010",254,,75
"1 Oct 2010",315,,57
"1 Nov 2010",307,,24
"1 Dec 2010",218,,64
"1 Jan 2011",389,,111
"1 Feb 2011",254,,42
"1 Mar 2011",311,,114
"1 Apr 2011",289,,39
"1 May 2011",381,,137
"1 Jun 2011",386,,154
"1 Jul 2011",308,,138
"1 Aug 2011",401,,118
"1 Sep 2011",397,,84
"1 Oct 2011",366,,135
"1 Nov 2011",279,,70
"1 Dec 2011",392,,72
"1 Jan 2012",531,,85
"1 Feb 2012",356,,121
"1 Mar 2012",377,,133
"1 Apr 2012",392,,122
"1 May 2012",304,,79
"1 Jun 2012",529,,118
"1 Jul 2012",469,,160
"1 Aug 2012",422,,109
"1 Sep 2012",400,,136
"1 Oct 2012",290,,46
"1 Nov 2012",253,,52
"1 Dec 2012",299,,48
"1 Jan 2013",357,,89
"1 Feb 2013",360,,82
"1 Mar 2013",403,,122
"1 Apr 2013",545,,120
"1 May 2013",888,,146
"1 Jun 2013",659,,108
"1 Jul 2013",1145,,255
"1 Aug 2013",1013,,113
"1 Sep 2013",1306,,107
"1 Oct 2013",1180,,194
"1 Nov 2013",870,,120
"1 Dec 2013",1125,,227
"1 Jan 2014",1096,,241
"1 Feb 2014",971,,3
"1 Mar 2014",1028,,111
"1 Apr 2014",1036,,
"1 May 2014",1098,,257
"1 Jun 2014",4081,,1918
"1 Jul 2014",1570,,240
"1 Aug 2014",3333,,227
"1 Sep 2014",1465,,70
"1 Oct 2014",1729,,198
"1 Nov 2014",1427,,143
"1 Dec 2014",1203,,23
"1 Jan 2015",1450,,103
"1 Feb 2015",1612,,39
"1 Mar 2015",1122,,29
"1 Apr 2015",1990,,23
"1 May 2015",1285,,21
