Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,1051112.0,1226098.0,3376479.0,912292.0,1066779.0,911679.0,527710.0,535632.0,515659.0,361985.0,1318019.0,1548374.0,1499351.0,985191.0
Albania,528.0,363.0,72.0,119.0,87.0,91.0,102.0,101.0,87.0,90.0,99.0,106.0,7557.0,7747.0
Algeria,169969.0,169497.0,169238.0,169049.0,169055.0,94408.0,95121.0,95735.0,94991.0,94291.0,94451.0,94964.0,95876.0,95921.0
Angola,279015.0,228280.0,302722.0,147365.0,105145.0,68640.0,61695.0,27007.0,28947.0,35903.0,19884.0,23357.0,63473.0,45462.0
Antigua and Barbuda,,,,,,,,,,,,,,
Argentina,3671.0,3939.0,3981.0,3853.0,3910.0,3899.0,4025.0,4350.0,3576.0,3980.0,4223.0,4578.0,5409.0,4164.0
Armenia,280591.0,264339.0,247553.0,239325.0,235303.0,219620.0,113792.0,4664.0,4125.0,85877.0,85844.0,85892.0,8773.0,13967.0
Aruba,,,,,,,,,,,1.0,4.0,6.0,
Australia,71140.0,69477.0,66727.0,59279.0,68498.0,66786.0,70368.0,23680.0,23078.0,24898.0,25565.0,28676.0,41134.0,47878.0
Austria,25437.0,29577.0,43624.0,49673.0,56581.0,62440.0,68383.0,69687.0,74714.0,71575.0,68656.0,72017.0,74701.0,78845.0
Azerbaijan,576141.0,579890.0,585753.0,584740.0,618382.0,583965.0,691988.0,691522.0,607903.0,590290.0,596846.0,602711.0,605524.0,614260.0
Bahamas,103.0,,,,,,,,,,37.0,42.0,52.0,22.0
Bahrain,3.0,21.0,1.0,1.0,6.0,15.0,18.0,35.0,97.0,151.0,234.0,359.0,339.0,346.0
Bangladesh,21629.0,22194.0,22047.0,19800.0,270459.0,271156.0,326390.0,27626.0,28392.0,228586.0,229253.0,229671.0,230700.0,231145.0
Barbados,,,,,,,,,,,,,1.0,
Belarus,869.0,938.0,958.0,965.0,11258.0,10764.0,12030.0,11100.0,10901.0,8469.0,8386.0,8036.0,7607.0,7380.0
Belgium,65072.0,12929.0,32605.0,35199.0,36485.0,34432.0,32970.0,33290.0,31837.0,34415.0,36871.0,42105.0,40958.0,39477.0
Belize,1286.0,1151.0,1063.0,869.0,763.0,638.0,489.0,360.0,284.0,251.0,164.0,133.0,104.0,83.0
Benin,4370.0,5025.0,5335.0,5848.0,5855.0,31989.0,12146.0,8157.0,7145.0,7329.0,7240.0,7575.0,5097.0,291.0
Bolivarian Republic of Venezuela,211.0,370.0,1077.0,2349.0,4148.0,6320.0,8474.0,210514.0,213097.0,215685.0,217406.0,219391.0,204560.0,205313.0
"Bonaire, Sint Eustatius and Saba",,,,,,,,,,,1.0,,,
Bosnia and Herzegovina,634546.0,570221.0,508450.0,404721.0,352304.0,199967.0,151512.0,146558.0,194448.0,182876.0,179433.0,177821.0,177440.0,163737.0
Botswana,3621.0,4302.0,3783.0,3917.0,3873.0,3156.0,3160.0,2942.0,3201.0,3228.0,3235.0,3558.0,3440.0,2983.0
Brazil,3265.0,3531.0,3743.0,3759.0,3791.0,3744.0,3890.0,21210.0,4369.0,4514.0,5229.0,9147.0,11711.0,22029.0
British Virgin Islands,,,,,,,,,,6.0,2.0,2.0,2.0,
Brunei Darussalam,,,,,,,,,,,20992.0,20992.0,21009.0,20524.0
Bulgaria,2792.0,4508.0,4798.0,4824.0,5604.0,5218.0,5364.0,5848.0,6208.0,6589.0,6942.0,7072.0,3558.0,8784.0
Burkina Faso,1013.0,707.0,834.0,965.0,1010.0,1295.0,1267.0,1133.0,1161.0,1058.0,1065.0,1211.0,39994.0,29999.0
Burundi,95992.0,125775.0,202597.0,135928.0,150706.0,120329.0,82307.0,71831.0,221704.0,163667.0,204419.0,130202.0,164233.0,134345.0
Cambodia,201.0,1101.0,281.0,122.0,698.0,195.0,295.0,418.0,225.0,164.0,180.0,113.0,101.0,70.0
Cameroon,45316.0,43764.0,63596.0,64262.0,64984.0,58808.0,39245.0,62297.0,83268.0,101269.0,106658.0,103671.0,102095.0,123047.0
Canada,157167.0,175028.0,182711.0,174669.0,168688.0,167723.0,175420.0,213254.0,227853.0,230604.0,216574.0,206735.0,196399.0,182437.0
Cayman Islands,,,,,,,,,,5.0,5.0,4.0,3.0,5.0
Central African Republic,57459.0,52911.0,56081.0,53029.0,28136.0,26603.0,161315.0,211523.0,205901.0,225319.0,215371.0,199903.0,106045.0,911369.0
Chad,20855.0,17306.0,34540.0,147133.0,260065.0,276927.0,399457.0,473024.0,539312.0,531663.0,529090.0,497735.0,500602.0,454934.0
Chile,443.0,461.0,431.0,522.0,654.0,913.0,1473.0,1894.0,2503.0,2037.0,1895.0,2038.0,2048.0,2124.0
China,294123.0,295326.0,297284.0,299397.0,299419.0,301125.0,301130.0,301171.0,300991.0,301036.0,301108.0,301048.0,301302.0,301394.0
Colombia,525560.0,720393.0,950238.0,1244383.0,2000244.0,2000210.0,3000267.0,3000281.0,3000294.0,3304362.0,3672478.0,3888684.0,3943827.0,5368403.0
Comoros,11.0,13.0,,,,1.0,2.0,,,,,,,
Congo,129753.0,122251.0,112579.0,96366.0,72803.0,69907.0,69085.0,43418.0,28139.0,116411.0,138737.0,145319.0,102808.0,54741.0
Costa Rica,6608.0,10691.0,12519.0,13585.0,10636.0,11476.0,11847.0,17701.0,18599.0,19703.0,19880.0,20512.0,21083.0,21110.0
Côte d'Ivoire,122933.0,128563.0,145891.0,131931.0,119832.0,82111.0,738985.0,735686.0,734205.0,710872.0,563660.0,754508.0,918687.0,768694.0
Croatia,91098.0,67952.0,49133.0,31279.0,23744.0,15756.0,11908.0,7826.0,33943.0,28305.0,25903.0,24301.0,24023.0,20266.0
Cuba,967.0,1052.0,1008.0,842.0,802.0,739.0,695.0,637.0,535.0,460.0,422.0,389.0,374.0,377.0
Curaçao,,,,,,,,,,,9.0,12.0,40.0,58.0
Cyprus,575.0,1943.0,2216.0,5431.0,10559.0,13769.0,13432.0,13086.0,9479.0,7903.0,8790.0,6562.0,6267.0,6438.0
Czech Republic,6217.0,12805.0,8953.0,5262.0,2742.0,2726.0,4763.0,4223.0,3558.0,3588.0,3514.0,3358.0,4883.0,4896.0
Democratic Republic of the Congo,349655.0,366917.0,355864.0,237648.0,213525.0,243531.0,1814990.0,2555204.0,1669273.0,2362295.0,2366035.0,2706932.0,3184338.0,3813483.0
Denmark,77190.0,78863.0,78216.0,71889.0,66150.0,45330.0,37901.0,28144.0,27615.0,24811.0,24501.0,18009.0,17000.0,18966.0
Djibouti,23657.0,24103.0,22164.0,28694.0,18035.0,10475.0,9278.0,7138.0,9656.0,13032.0,15843.0,22247.0,22234.0,23787.0
Dominican Republic,535.0,,,,,,,,,,2358.0,2380.0,1525.0,211533.0
Ecuador,1753.0,4217.0,5886.0,8946.0,10110.0,12552.0,17310.0,292322.0,135317.0,167189.0,171136.0,144994.0,138391.0,135467.0
Egypt,18025.0,22885.0,92588.0,94158.0,99208.0,100047.0,104468.0,112515.0,112605.0,107914.0,109419.0,114085.0,126949.0,253183.0
El Salvador,71.0,74.0,84.0,261.0,236.0,50.0,39.0,44.0,32.0,88.0,58.0,43.0,45.0,37.0
Equatorial Guinea,,,,2.0,1.0,,,3.0,1.0,,,,1.0,
Eritrea,1153298.0,35022.0,23300.0,14237.0,14589.0,6010.0,6625.0,7061.0,5084.0,4893.0,4946.0,4726.0,3684.0,3230.0
Estonia,22.0,31.0,17.0,15.0,150556.0,136015.0,119217.0,116272.0,110344.0,104856.0,101032.0,97808.0,94305.0,91333.0
Ethiopia,200933.0,161922.0,133172.0,130314.0,116027.0,101173.0,97326.0,85395.0,85417.0,124361.0,155329.0,290212.0,378759.0,435867.0
Federal Republic of Yugoslavia,876637.0,692104.0,630507.0,,,,,,,,,,,
Federated States of Micronesia,,,,,,,2.0,2.0,1.0,1.0,,,,
Fiji,,,,,,,2.0,1.0,6.0,6.0,7.0,8.0,13.0,7.0
Finland,14576.0,12728.0,12490.0,10843.0,11325.0,12535.0,13028.0,6993.0,10756.0,13638.0,13946.0,15072.0,13817.0,14788.0
France,132508.0,166152.0,166770.0,153738.0,199906.0,179430.0,183909.0,185012.0,203708.0,237959.0,250394.0,260627.0,268960.0,285417.0
Gabon,21024.0,19217.0,19136.0,19123.0,18626.0,13388.0,12556.0,13086.0,13307.0,13132.0,13147.0,12792.0,4363.0,3995.0
Gambia,12240.0,8357.0,12120.0,7466.0,7945.0,7932.0,14363.0,14898.0,14836.0,12343.0,8452.0,9554.0,9853.0,9769.0
Georgia,280086.0,272182.0,265843.0,264573.0,240194.0,238482.0,248635.0,275603.0,435229.0,360486.0,362228.0,276068.0,281870.0,259544.0
Germany,976266.0,988533.0,1144000.0,1088478.0,973392.0,781116.0,668230.0,622033.0,647852.0,658632.0,670462.0,658818.0,680980.0,334724.0
Ghana,13164.0,14231.0,42277.0,48034.0,48064.0,59035.0,50535.0,35402.0,18696.0,14257.0,14578.0,26220.0,18622.0,20484.0
Greece,9032.0,13172.0,4526.0,10008.0,9864.0,11257.0,15901.0,30799.0,40483.0,50156.0,57428.0,45720.0,38437.0,72942.0
Grenada,,,,,,,,,,,3.0,3.0,,
Guatemala,809.0,739.0,743.0,757.0,668.0,394.0,385.0,381.0,135.0,135.0,140.0,159.0,162.0,168.0
Guinea,427206.0,179318.0,182530.0,186885.0,145571.0,67336.0,35356.0,29251.0,22125.0,16254.0,14878.0,17215.0,10903.0,8848.0
Guinea-Bissau,8523.0,7703.0,7679.0,7630.0,7677.0,7782.0,8121.0,8203.0,8211.0,8187.0,8009.0,7891.0,7892.0,8624.0
Guyana,,,,,,,,,,,7.0,8.0,7.0,7.0
Haiti,6.0,,,2.0,,,1.0,2.0,3.0,23.0,5.0,6.0,12.0,8.0
Honduras,18.0,24.0,34.0,24.0,44.0,72.0,22.0,43.0,24.0,20.0,14.0,17.0,17.0,28.0
"Hong Kong SAR, China",1034.0,1858.0,1686.0,2098.0,2538.0,3031.0,4347.0,2021.0,1215.0,877.0,641.0,750.0,953.0,1920.0
Hungary,6698.0,7108.0,7148.0,7798.0,8062.0,8779.0,8659.0,9937.0,10512.0,6740.0,5843.0,5555.0,4551.0,4351.0
Iceland,252.0,230.0,229.0,252.0,258.0,375.0,298.0,85.0,213.0,217.0,235.0,245.0,297.0,422.0
India,171023.0,169756.0,169356.0,165292.0,163001.0,139586.0,159048.0,163966.0,188328.0,190764.0,188567.0,188637.0,189215.0,192033.0
Indonesia,123794.0,74357.0,28833.0,301.0,228.0,282.0,566.0,526.0,726.0,2878.0,2882.0,4239.0,7980.0,10268.0
