ConflictID,DyadId,Year,LocationInc,SideA,SideA2nd,SideB,SideBID,SideB2nd,Incompatibility,TerritoryName,BdBest,BdLow,BdHigh,TypeOfConflict,BattleLocation,GWNoA,GWNoA2nd,GWNoB,GWNoB2nd,GWNoLoc,GWNoBattle,Region,Version
191,1,1992,Algeria,Government of Algeria,,AIS,1389,,2,,257,257,336,3,Algeria,615,,,,615,615,4,5.0-2015
191,1,1993,Algeria,Government of Algeria,,AIS,1389,,2,,775,775,835,3,Algeria,615,,,,615,615,4,5.0-2015
191,1,1994,Algeria,Government of Algeria,,AIS,1389,,2,,1346,1346,1469,3,Algeria,615,,,,615,615,4,5.0-2015
191,1,1995,Algeria,Government of Algeria,,AIS,1389,,2,,25,1,151,3,Algeria,615,,,,615,615,4,5.0-2015
191,1,1996,Algeria,Government of Algeria,,AIS,1389,,2,,25,19,153,3,Algeria,615,,,,615,615,4,5.0-2015
191,1,1997,Algeria,Government of Algeria,,AIS,1389,,2,,40,40,220,3,Algeria,615,,,,615,615,4,5.0-2015
191,2,1991,Algeria,Government of Algeria,,Takfir wa'l Hijra,1388,,2,,34,34,34,3,Algeria,615,,,,615,615,4,5.0-2015
191,3,1993,Algeria,Government of Algeria,,GIA,1390,,2,,25,25,25,3,Algeria,615,,,,615,615,4,5.0-2015
191,3,1994,Algeria,Government of Algeria,,GIA,1390,,2,,570,570,610,3,Algeria,615,,,,615,615,4,5.0-2015
191,3,1995,Algeria,Government of Algeria,,GIA,1390,,2,,2983,2983,5940,3,Algeria,615,,,,615,615,4,5.0-2015
191,3,1996,Algeria,Government of Algeria,,GIA,1390,,2,,1059,1059,1354,3,Algeria,615,,,,615,615,4,5.0-2015
191,3,1997,Algeria,Government of Algeria,,GIA,1390,,2,,1363,1363,1841,3,Algeria,615,,,,615,615,4,5.0-2015
191,3,1998,Algeria,Government of Algeria,,GIA,1390,,2,,3029,3029,3665,3,Algeria,615,,,,615,615,4,5.0-2015
191,3,1999,Algeria,Government of Algeria,,GIA,1390,,2,,965,965,993,3,Algeria,615,,,,615,615,4,5.0-2015
191,3,2000,Algeria,Government of Algeria,,GIA,1390,,2,,25,25,25,3,Algeria,615,,,,615,615,4,5.0-2015
