Data Type,Index,Index.1,Index.2,Index.3,Index.4,Index.5,Index.6,Index.7,Index.8,Index.9,USD,USD.1,USD.2,USD.3,USD.4,USD.5,USD.6,USD.7,USD.8,USD.9,USD.10,USD.11,USD.12,USD.13,USD.14,USD.15,USD.16,USD.17,USD.18,USD.19,USD.20,USD.21,USD.22,USD.23,USD.24,USD.25,USD.26,USD.27,USD.28,USD.29,USD.30,USD.31,USD.32,USD.33,USD.34,USD.35,USD.36,USD.37,USD.38,USD.39,USD.40,USD.41,USD.42,USD.43,USD.44,USD.45,USD.46,USD.47,USD.48,USD.49,USD.50,USD.51,USD.52
Commodity,PALLFNF,PNFUEL,PFANDB,PFOOD,PBEVE,PINDU,PRAWM,PMETA,PNRG,POILAPSP,PALUM,PBANSOP,PBARL,PBEEF,PCOALAU,PCOCO,PCOFFOTM,PCOFFROB,PROIL,PCOPP,PCOTTIND,PFISH,PGNUTS,PHIDE,PIORECR,PLAMB,PLEAD,PLOGORE,PLOGSK,PMAIZMT,PNGASEU,PNGASJP,PNGASUS,PNICK,POILAPSP,POILBRE,POILDUB,POILWTI,POLVOIL,PORANG,PPOIL,PPORK,PPOULT,PRICENPQ,PRUBB,PSALM,PSAWMAL,PSAWORE,PSHRI,PSMEA,PSOIL,PSOYB,PSUGAEEC,PSUGAISA,PSUGAUSA,PSUNO,PTEA,PTIN,PURAN,PWHEAMT,PWOOLC,PWOOLF,PZINC
Commodity.Description,"All Commodity Price Index, 2005 = 100, includes both Fuel and Non-Fuel Price Indices","Non-Fuel Price Index, 2005 = 100, includes Food and Beverages and Industrial Inputs Price Indices","Food and Beverage Price Index, 2005 = 100, includes Food and Beverage Price Indices","Food Price Index, 2005 = 100, includes Cereal, Vegetable Oils, Meat, Seafood, Sugar, Bananas, and Oranges Price Indices","Beverage Price Index, 2005 = 100, includes Coffee, Tea, and Cocoa","Industrial Inputs Price Index, 2005 = 100, includes Agricultural Raw Materials and Metals Price Indices","Agricultural Raw Materials Index, 2005 = 100, includes Timber, Cotton, Wool, Rubber, and Hides Price Indices","Metals Price Index, 2005 = 100, includes Copper, Aluminum, Iron Ore, Tin, Nickel, Zinc, Lead, and Uranium Price Indices","Fuel (Energy) Index, 2005 = 100, includes Crude oil (petroleum), Natural Gas, and Coal Price Indices","Crude Oil (petroleum), Price index, 2005 = 100, simple average of three spot prices; Dated Brent, West Texas Intermediate, and the Dubai Fateh","Aluminum, 99.5% minimum purity, LME spot price, CIF UK ports, US$ per metric ton","Bananas, Central American and Ecuador, FOB U.S. Ports, US$ per metric ton","Barley, Canadian no.1 Western Barley, spot price, US$ per metric ton","Beef, Australian and New Zealand 85% lean fores, CIF U.S. import price, US cents per pound","Coal, Australian thermal coal, 12,000- btu/pound, less than 1% sulfur, 14% ash, FOB Newcastle/Port Kembla, US$ per metric ton","Cocoa beans, International Cocoa Organization cash price, CIF US and European ports, US$ per metric ton","Coffee, Other Mild Arabicas, International Coffee Organization New York cash price, ex-dock New York, US cents per pound","Coffee, Robusta, International Coffee Organization New York cash price, ex-dock New York, US cents per pound","Rapeseed oil, crude, fob Rotterdam, US$ per metric ton","Copper, grade A cathode, LME spot price, CIF European ports, US$ per metric ton","Cotton, Cotton Outlook 'A Index', Middling 1-3/32 inch staple, CIF Liverpool, US cents per pound","Fishmeal, Peru Fish meal/pellets 65% protein, CIF, US$ per metric ton","Groundnuts (peanuts), 40/50 (40 to 50 count per ounce), cif Argentina, US$ per metric ton","Hides, Heavy native steers, over 53 pounds, wholesale dealer's price, US, Chicago, fob Shipping Point, US cents per pound","China import Iron Ore Fines 62% FE spot (CFR Tianjin port), US dollars per metric ton","Lamb, frozen carcass Smithfield London, US cents per pound","Lead, 99.97% pure, LME spot price, CIF European Ports, US$ per metric ton","Soft Logs, Average Export price from the U.S. for Douglas Fir, US$ per cubic meter","Hard Logs, Best quality Malaysian meranti, import price Japan, US$ per cubic meter","Maize (corn), U.S. No.2 Yellow, FOB Gulf of Mexico, U.S. price, US$ per metric ton","Natural Gas, Russian Natural Gas border price in Germany, US$ per Million Metric British Thermal Unit","Natural Gas, Indonesian Liquefied Natural Gas in Japan, US$ per Million Metric British Thermal Unit","Natural Gas, Natural Gas spot price at the Henry Hub terminal in Louisiana, US$ per Million Metric British Thermal Unit","Nickel, melting grade, LME spot price, CIF European ports, US$ per metric ton","Crude Oil (petroleum), simple average of three spot prices; Dated Brent, West Texas Intermediate, and the Dubai Fateh","Crude Oil (petroleum),  Dated Brent, light blend 38 API, fob U.K., US$ per barrel","Oil; Dubai, medium, Fateh 32 API, fob Dubai Crude Oil (petroleum), Dubai Fateh Fateh 32 API, US$ per barrel","Crude Oil (petroleum), West Texas Intermediate 40 API, Midland Texas, US$ per barrel","Olive Oil, extra virgin less than 1% free fatty acid, ex-tanker price U.K., US$ per metric ton","Oranges, miscellaneous oranges CIF French import price, US$ per metric ton","Palm oil, Malaysia Palm Oil Futures (first contract forward) 4-5 percent FFA, US$ per metric ton","Swine (pork), 51-52% lean Hogs, U.S. price, US cents per pound.","Poultry (chicken), Whole bird spot price, Ready-to-cook, whole, iced, Georgia docks, US cents per pound","Rice, 5 percent broken milled white rice, Thailand nominal price quote, US$ per metric ton","Rubber, Singapore Commodity Exchange, No. 3 Rubber Smoked Sheets, 1st contract, US cents per pound","Fish (salmon), Farm Bred Norwegian Salmon, export price, US$ per kilogram","Hard Sawnwood, Dark Red Meranti, select and better quality, C&F U.K port, US$ per cubic meter","Soft Sawnwood, average export price of Douglas Fir, U.S. Price, US$ per cubic meter","Shrimp, No.1 shell-on headless, 26-30 count per pound, Mexican origin, New York port, US$ per kilogram ","Soybean Meal, Chicago Soybean Meal Futures (first contract forward) Minimum 48 percent protein, US$ per metric ton","Soybean Oil, Chicago Soybean Oil Futures (first contract forward) exchange approved grades, US$ per metric ton","Soybeans, U.S. soybeans, Chicago Soybean futures contract (first contract forward) No. 2 yellow and par, US$ per metric ton","Sugar, European import price, CIF Europe, US cents per pound","Sugar, Free Market, Coffee Sugar and Cocoa Exchange (CSCE) contract no.11 nearest future position, US cents per pound","Sugar, U.S. import price, contract no.14 nearest futures position, US cents per pound (Footnote: No. 14 revised to No. 16)","Sunflower oil, Sunflower Oil, US export price from Gulf of Mexico, US$ per metric ton","Tea, Mombasa, Kenya, Auction Price, US cents per kilogram, From July 1998,Kenya auctions, Best Pekoe Fannings. Prior, London auctions, c.i.f. U.K. warehouses","Tin, standard grade, LME spot price, US$ per metric ton","Uranium, NUEXCO, Restricted Price, Nuexco exchange spot, US$ per pound","Wheat, No.1 Hard Red Winter, ordinary protein, Kansas City, US$ per metric ton","Wool, coarse, 23 micron, Australian Wool Exchange spot quote, US cents per kilogram","Wool, fine, 19 micron, Australian Wool Exchange spot quote, US cents per kilogram","Zinc, high grade 98% pure, US$ per metric ton"
2000M1,59.46434685220838,79.98842935675954,81.63799035677579,81.32341686761455,84.54179588169221,78.32223833741541,95.76798574571667,65.72096927106531,47.4570465793448,47.23450013010052,1679.85,483.425414364641,73.1332776600664,88.2,25.1,918.481742708907,109.166,53.6185,366.05,1843.85,47.4333333333333,452.222547619048,780.95,76.2828947368421,12.45,128.24069899,471.875,177.312550981794,193.076055647446,92.9532749553571,3.05555555555556,4.54,2.40275,8315.25,25.21,25.22,23.18,27.24,3553.8042,348.9,301.789567871993,51.609,58.2307692307692,247.5,29.207387288305,3.87,643.356643356643,295.278665296307,14.8812,172.4345582233,356.04613,180.3836524875,27.294960274332993,5.6295,17.6904761904762,428.52380952381,228,5926.25,9.55,93.62286266666663,276.43631,724.21216,1178.575
2000M2,61.7571405519952,80.75562018592804,82.18529006694219,82.38305448860713,80.35974074365431,79.31153711391737,97.92853049367214,65.86426327151844,50.642370883634634,50.849257187195114,1679.425,580.110497237569,73.3645812105156,89.05,25.1,860.739968864887,101.645333333333,49.6168333333333,350.41,1807.025,53.435,448.563857142857,823.81,75.88125,12.45,122.50524358,453.25,178.184761858983,184.374948958094,95.0816190401786,3.05555555555556,4.58,2.657375,9583.75,27.15,27.63,24.62,29.21,3488.1308,323.59,277.579808932284,54.9090476190476,57.625,243,33.3910988232947,3.9035465815131,643.356643356643,312.795879819679,14.8812,180.4704076732,347.007188,185.75795535,26.60624931583069,5.351,17.084,405.52380952381,234.25,5669,9.39375,98.16682944444442,260.07278,727.09186,1098.25
2000M3,62.20453524273114,80.6890538555279,82.25952536218352,82.33617472361625,81.55198055348662,79.10274966883848,100.13569058912447,63.91040843001865,51.39045060172611,51.48221546930356,1579.64,419.889502762431,74.3986754517413,90.46,25.1,925.925803499116,97.946,47.1712,353.87,1739.8,57.304,434.752934782609,794.78,77.895,12.45,123.46868729,441.84,177.667,190.854761533252,95.1693511057143,3.05555555555556,4.95,2.7816,10255.4,27.49,27.47,25.08,29.92,3443.8768,299.18,294.389030712951,57.76,57.25,228.8,30.9419130507091,3.94121115856152,636.363636363636,320.711,15.0135,185.629224604,371.47847,190.97148846875,26.268606077435013,5.1112,18.388,406.869565217391,253.08,5463.8,9.31,96.39621072463767,267.10202,767.31128,1113
2000M4,58.33930663932969,80.62117706628345,84.09111789736556,84.65151983033209,78.91808747620352,77.11625408959615,99.67621915347496,60.82092530579619,45.30363945186123,43.952058632748695,1458.745,481.698895027624,76.9534601816919,90.05,25.1,911.952356580254,92.564,45.225,373.66,1681.9075,58.7675,423.790375,808,78.6691176470588,12.45,110.47381384,423.02,182.665,192.137399754801,95.5393729517857,3.24,5.08,3.03526315833333,9746.5,23.45,22.54,22.03,25.78,3404.095,337.49,318.140905860989,66.947,57.25,217,31.9301483398313,4.01251850010339,636.363636363636,298.832,15.1016,187.8558934502,400.13853,197.1037058375,26.32826699789029,6.011,19.4115,436,249.4,5398.05,9.14285714,94.43122333333329,273.80854,801.4176325,1132.52
2000M5,62.484586271052144,81.49494206987202,84.56511337789635,85.1867272904101,78.82703952324505,78.3938188854445,101.11775369170674,61.980052823254795,51.3628686342327,51.05743661971692,1468.0652173913,414.785010809512,78.2569709729733,90.9,25.6,909.422413991637,91.7572727272727,45.1886363636364,356.05,1785.09782608696,60.5047619047619,417.207434782609,805.22,79.2443181818182,12.45,105.8443253,412.608695652174,181.063,191.614343531277,95.5305508928571,3.24,4.58,3.58954545555556,10122.9130434783,27.23,27.4,25.51,28.78,3243.6405,411.02,283.167092138853,69.161,57.7625,198.782608695652,31.2017020258803,4.05214063779765,633.931286105199,310.909,15.1016,200.9844211523,381.178798,200.8703112625,25.086505308549015,6.78086956521739,19.1169565217391,412.913043478261,252,5437.95652173913,8.5,99.11204695652178,290.374489565217,817.72406,1154.07391304348
2000M6,64.61293505310947,79.98799577440641,83.35764518049697,84.1042314378686,76.46596049097303,76.58437530889421,97.9651682131191,61.1407764803427,55.61799114985895,55.49877086451105,1509.37272727273,412.983425414365,78.4832093233816,88.0568181818182,25.6,948.22785784672,84.1027272727273,43.7195454545455,358.92,1752.07272727273,59.4727272727273,452.823340909091,785.45,75.0625,12.45,104.35627778,419.554545454545,181.426,194.476393249505,84.0395145034014,3.24,5.14,4.28727272777778,8384.31818181818,29.62,29.68,27.32,31.86,2970.8782,426.49,272.233919359933,69.498,59.1159090909091,197.863636363636,30.3866550681669,4.01092779062519,629.370629370629,303.421,15.1016,191.4935207732,359.132598,186.952244875,25.076402379383463,8.33454545454546,19.0636363636364,373.227272727273,240.64,5461.18181818182,8.23125,103.366615,293.981656363636,764.331189545455,1116.19090909091
2000M7,63.04158435395308,79.16611826321223,81.02282749940623,81.46305313249421,76.9591359627185,77.29069064650136,97.7304284465987,62.52682701620968,53.60817263552365,52.77865804748004,1564.37619047619,307.813733228098,78.6813365271406,86.9285714285714,25.6,967.111550127046,84.6733333333333,41.9557142857143,343.93,1803.14285714286,58.3904761904762,471.252880952381,765.24,77.5178571428571,12.45,102.30595789,453.104761904762,174.275,191.544243518609,75.057375212585,3.59,5.38,3.9895,8174.80952380952,28.16,28.51,26.01,29.97,2669.9919,401.78,266.543846720707,66.5878947368421,59.7619047619048,191,29.4021076293167,4.05978560011399,628.205128205128,290.244,15.1,175.928885076,341.495638,169.497244125,25.08325883825784,9.64047619047619,18.8304761904762,353.857142857143,247,5329.7619047619,8.1,97.12575888888885,302.360942857143,746.929513333333,1135.91428571429
2000M8,63.9493591031641,77.88627910219705,79.16533124035071,79.91423124972957,72.25228847046282,76.594332223092,96.32617643452166,62.34178847909544,55.79577741345116,55.119641187977415,1530.3347826087,347.105452798463,75.1326738466872,86.3913043478261,25.6,877.792726353178,74.5247826086957,38.94,345.65,1857.12391304348,60.8913043478261,461.598086956522,763.91,81.6141304347826,12.45,104.50757359,472.573913043478,183.159,191.166919494233,75.2405311428571,3.59,5.51,4.42652173888889,8038.4347826087,29.41,29.89,27.05,31.31,2666.9031,392.32,257.149248624891,59.4860869565218,60.1739130434783,187.086956521739,30.3085171496012,3.8289020129372,604.895104895105,238.72,15.1016,171.0676921989,336.645474,167.86657958125,24.774221500551324,10.5978260869565,18.8847826086957,352.652173913044,261.35,5314.34782608696,7.95714286,96.65181884057968,289.924180869565,717.289714347826,1172.55217391304
