Country Name,Country Code,Indicator Name,Indicator Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,AFG,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,,3,3,3,3,3,3.5,3.5,3.5,3.5
Afghanistan,AFG,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Afghanistan,AFG,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,,3,3,3,3.5,2.5,2.5,2.5,2.5,3
Afghanistan,AFG,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,,3.333333333,3.166666667,3.2,3.333333333,3,3,3,3,3
Afghanistan,AFG,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,,2.5,2.5,2.5,3,3,3,3,3,3
Afghanistan,AFG,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,,2.5,2.5,2.5,3,3,3,3,3,3
Afghanistan,AFG,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,,2,2,2.5,2.5,2,2,2,2,2
Afghanistan,AFG,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,,3,3,3,3,3,3,3,3,2.5
Afghanistan,AFG,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,,2,2,2,2,2,2,2,1.5,1.5
Afghanistan,AFG,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Afghanistan,AFG,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,,2.3,2.3,2.5,2.6,2.6,2.7,2.7,2.6,2.6
Afghanistan,AFG,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Afghanistan,AFG,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Afghanistan,AFG,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,,2.3,2.2,2.2,2.4,2.4,2.5,2.5,2.5,2.5
Afghanistan,AFG,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5
Afghanistan,AFG,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,,2,2,2,2,2,2.5,2.5,2.5,2.5
Afghanistan,AFG,CPIA social protection and labor rating (1=low to 6=high),IQ.CPA.PROT.XQ,,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Afghanistan,AFG,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,,2.5,2.333333333,2.5,2.666666667,2.5,2.5,2.5,2.5,2.5
Afghanistan,AFG,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,,3,2.5,2.5,3,3,3,3,3,3
Afghanistan,AFG,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,,2.5,2,2,2,2,2,2,2,2
Afghanistan,AFG,IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,,2.608333333,2.5,2.6,2.75,2.625,2.675,2.675,2.65,2.65
Angola,AGO,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,2.5,2.5,2.5,2.5,2.5,2.5,3,3,3,
Angola,AGO,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,2,2,2,2,2,2,2,2,2,
Angola,AGO,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,2,2,3,3,3,3,3,3,3,
Angola,AGO,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,2.5,2.666666667,3,3,3,3,3,3,3,
Angola,AGO,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,
Angola,AGO,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,
Angola,AGO,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,
Angola,AGO,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,2.5,3,3,3,3,3,3,3,3,
Angola,AGO,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,3,3,3,3,3.5,3.5,3.5,3,3,
Angola,AGO,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,3,3,3,3,3,3,3,3,3,
Angola,AGO,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,2.6,2.7,2.7,2.7,2.9,2.8,2.8,2.7,2.7,
