Country Name,Demographic Pressures 2006,External Intervention 2006,Factionalized Elites 2006,Group Grievance 2006,Human Flight 2006,Human Rights 2006,Legitimacy of the State 2006,Poverty and Economic Decline 2006,Public Services 2006,Refugees and IDPs 2006,Security Apparatus 2006,Total 2006,Uneven Development 2006,Demographic Pressures 2007,External Intervention 2007,Factionalized Elites 2007,Group Grievance 2007,Human Flight 2007,Human Rights 2007,Legitimacy of the State 2007,Poverty and Economic Decline 2007,Public Services 2007,Refugees and IDPs 2007,Security Apparatus 2007,Total 2007,Uneven Development 2007,Demographic Pressures 2008,External Intervention 2008,Factionalized Elites 2008,Group Grievance 2008,Human Flight 2008,Human Rights 2008,Legitimacy of the State 2008,Poverty and Economic Decline 2008,Public Services 2008,Refugees and IDPs 2008,Security Apparatus 2008,Total 2008,Uneven Development 2008,Demographic Pressures 2009,External Intervention 2009,Factionalized Elites 2009,Group Grievance 2009,Human Flight 2009,Human Rights 2009,Legitimacy of the State 2009,Poverty and Economic Decline 2009,Public Services 2009,Refugees and IDPs 2009,Security Apparatus 2009,Total 2009,Uneven Development 2009,Demographic Pressures 2010,External Intervention 2010,Factionalized Elites 2010,Group Grievance 2010,Human Flight 2010,Human Rights 2010,Legitimacy of the State 2010,Poverty and Economic Decline 2010,Public Services 2010,Refugees and IDPs 2010,Security Apparatus 2010,Total 2010,Uneven Development 2010,Demographic Pressures 2011,External Intervention 2011,Factionalized Elites 2011,Group Grievance 2011,Human Flight 2011,Human Rights 2011,Legitimacy of the State 2011,Poverty and Economic Decline 2011,Public Services 2011,Refugees and IDPs 2011,Security Apparatus 2011,Total 2011,Uneven Development 2011,Demographic Pressures 2012,External Intervention 2012,Factionalized Elites 2012,Group Grievance 2012,Human Flight 2012,Human Rights 2012,Legitimacy of the State 2012,Poverty and Economic Decline 2012,Public Services 2012,Refugees and IDPs 2012,Security Apparatus 2012,Total 2012,Uneven Development 2012,Demographic Pressures 2013,External Intervention 2013,Factionalized Elites 2013,Group Grievance 2013,Human Flight 2013,Human Rights 2013,Legitimacy of the State 2013,Poverty and Economic Decline 2013,Public Services 2013,Refugees and IDPs 2013,Security Apparatus 2013,Total 2013,Uneven Development 2013,Demographic Pressures 2014,External Intervention 2014,Factionalized Elites 2014,Group Grievance 2014,Human Flight 2014,Human Rights 2014,Legitimacy of the State 2014,Poverty and Economic Decline 2014,Public Services 2014,Refugees and IDPs 2014,Security Apparatus 2014,Total 2014,Uneven Development 2014
Sudan,9.6,9.8,9.1,9.7,9.1,9.8,9.5,7.5,9.5,9.7,9.8,112.3,9.2,9.2,9.8,9.7,10.0,9.0,10.0,10.0,7.7,9.5,9.8,9.9,113.7,9.1,9.8,10.0,10.0,9.5,8.3,9.9,10.0,9.4,10.0,9.8,10.0,114.2,7.5,9.8,9.8,10.0,9.7,8.5,9.9,10.0,9.5,9.9,9.9,10.0,114.7,7.7,9.6,9.6,10.0,9.7,8.3,9.9,10.0,9.6,9.6,10.0,10.0,114.3,8.0,9.7,9.68563218391,9.8275862069,9.5,8.20625985286,9.7,9.8,9.3,9.4,9.95689655172,9.96432536573,113.440700161,8.4,9.8,9.8,9.8275862069,9.6,8.60754486989,9.871364022,9.9,9.65,9.77394782508,10.0,10.0,114.930442924,8.1,9.5,9.4,10.0,9.3,8.9,10.0,9.5,9.4,9.77461436198,10.0,9.7,113.874614362,8.4,9.1,9.9,10.0,10.0,6.8,9.9,9.7,8.8,9.9,10.0,9.9,112.9,8.9
"Congo, D.R.",9.5,10.0,9.6,9.1,8.0,9.5,9.0,8.1,9.0,9.5,9.8,110.1,9.0,9.0,10.0,9.8,10.0,9.5,9.7,9.4,8.0,8.5,9.0,10.0,111.4,8.5,9.0,9.9,9.9,10.0,8.8,9.9,10.0,7.3,9.5,9.6,9.8,113.0,9.3,9.8,7.6,9.5,9.1,10.0,9.9,9.8,10.0,9.8,9.1,9.7,114.0,9.7,9.4,9.7,9.8,9.8,8.3,9.6,9.9,8.5,9.6,9.5,9.9,113.3,9.3,9.1516346997,9.1,9.8,9.4,8.0,9.3,9.8,8.5,9.6,9.54786278736,9.2,110.299497487,8.9,9.85938176855,9.62693036524,9.459,9.28528542244,7.4,9.69536550913,9.51899105695,8.81510561278,9.2,9.74276103453,9.7,111.20282077,8.9,10.0,9.67301574442,9.459,9.4,7.1,9.8,9.6,8.5,9.51573033708,10.0,10.0142898089,111.901570774,8.83953488372,9.5,9.2,10.0,9.3,8.9,9.8,9.1,9.1,9.6,10.0,9.4,112.6,8.7
Guinea,7.5,8.5,9.0,8.1,8.4,8.1,9.1,8.0,9.0,7.2,8.1,99.0,8.0,8.6,9.6,9.3,8.0,8.0,9.1,9.2,8.4,9.0,4.2,9.3,100.9,8.2,7.9,7.9,8.6,8.5,8.3,8.9,9.7,8.6,9.0,7.4,8.4,101.8,8.6,8.6,9.7,8.5,9.0,8.4,8.5,9.1,8.3,8.0,7.8,8.5,102.5,8.1,9.3,9.6,8.4,7.3,8.6,8.3,9.3,9.2,9.5,5.6,8.2,101.6,8.3,8.2,7.6,9.18764367816,7.9,8.3,9.2,9.40228406103,8.6,8.7,7.70456994514,9.3,102.494497684,8.4,8.77072656675,9.3,9.1382183908,8.5,5.57253532233,8.5,8.85785407102,8.0,9.09854489464,9.71455158401,9.6,103.759749233,8.7073184031,8.3,8.5,9.58505747126,10.0252649097,8.3,8.59408561345,8.55186200978,7.26647727273,7.58652524711,8.8,10.0,103.909272524,8.4,8.9,7.7,10.0,8.1,8.3,8.6,9.3,8.3,8.8,8.4,8.1,102.8,8.3
Brazil,6.5,4.7,3.2,5.7,5.0,5.3,5.5,2.7,6.7,3.6,5.7,63.1,8.5,6.5,4.2,7.5,6.2,6.0,7.9,8.1,6.7,6.5,1.6,4.3,72.9,7.4,6.5,6.0,5.4,6.1,6.7,6.0,6.4,6.2,4.9,3.9,6.0,72.4,8.3,5.9,5.9,6.9,6.0,6.7,6.1,7.1,5.3,5.4,7.2,5.3,74.3,6.5,5.7,5.8,7.0,6.0,7.0,6.4,6.6,5.8,5.3,6.9,5.1,74.1,6.5,5.46217130929,5.8286855119,7.0,6.04919150594,6.6,6.4889954229,6.6,5.31363502801,5.0,6.6,5.15745396255,72.3001327406,6.2,5.75700401235,5.9,7.86149425287,7.7,2.9,8.6,7.6038854136,3.40454545455,4.27681663981,5.5,7.2,73.4037457732,6.7,6.61797752809,6.7,6.9,4.8,6.3,7.5,6.5,5.2,4.7,5.3,6.3,72.7621635746,5.94418604651,4.2,6.7,8.0,8.0,5.0,5.2,5.8,6.4,4.4,6.5,6.2,72.0,5.6
Romania ,6.5,5.5,4.1,5.4,5.5,4.8,6.2,5.9,5.3,3.9,3.5,62.6,6.0,6.9,6.2,4.8,6.1,7.0,5.1,6.1,6.2,5.7,4.0,6.1,72.6,8.4,6.8,8.4,5.4,5.0,8.2,4.6,6.7,6.1,4.8,3.2,6.3,72.4,6.9,7.4,5.7,4.0,6.3,5.6,6.0,6.0,6.5,7.3,6.0,5.9,74.2,7.5,6.1,5.5,5.1,6.2,8.0,5.2,6.8,6.9,5.3,3.6,6.6,73.0,7.7,7.1148941888,8.5,5.6,4.15048460939,8.00351637765,2.5,6.31494252874,6.7,6.9,3.5,5.4,71.8838377046,7.2,6.0,7.0,6.9,4.8,6.6,7.37439983483,6.43428104817,5.5,5.0,5.0,6.6,73.108680883,5.9,5.5,5.6,8.0,7.4,3.06931818182,8.9,7.8019427068,3.61655844156,3.96425101653,5.2,7.23057324841,72.6849691765,6.4023255814,5.8,4.1,7.8,6.2,4.9,6.0,7.4,5.4,6.4,2.7,6.2,71.6,8.7
Bulgaria,6.0,5.5,4.1,4.0,6.0,4.9,6.2,4.3,5.3,4.1,5.5,62.1,6.2,5.7,6.6,7.7,5.2,4.0,7.0,7.5,6.6,6.1,3.0,6.7,72.3,6.2,6.2,6.6,7.8,5.2,4.0,6.8,7.7,6.0,5.5,3.6,6.5,72.4,6.5,6.2,6.1,5.8,6.2,6.9,6.0,6.7,6.3,5.0,3.9,6.2,73.2,7.9,4.8,6.6,6.5,7.6,6.7,5.1,6.9,6.6,4.6,4.6,5.6,72.7,7.1,7.2,6.16080259289,3.52212643678,5.26919929866,7.1,5.5,4.41708653773,6.25032254094,6.7,5.56146486416,5.51436552543,71.6953677966,8.5,5.235175843,6.1,7.0,5.7,6.3,6.81989140854,6.81997518442,5.6,4.7,6.82533440342,5.24539364794,72.2457704873,5.9,5.9,4.5,6.7,7.0,6.1,5.0,7.05907575758,4.1,6.44606741573,4.7,7.0,72.3318758558,7.82673268247,7.1,7.2,3.5,5.6,6.8,4.6,4.1,6.8,7.0,5.8,4.6,71.5,8.4
Croatia ,5.7,5.8,3.9,6.5,5.0,4.6,4.2,5.8,4.1,6.6,4.0,61.9,5.7,6.5,6.6,3.8,4.0,6.9,4.8,6.4,7.1,8.1,5.2,5.2,72.0,7.4,6.6,4.2,7.7,6.2,6.0,7.1,8.3,6.2,6.0,1.3,5.0,72.3,7.7,6.3,5.2,5.1,6.1,7.9,5.4,6.7,6.6,5.5,3.5,6.8,73.0,7.9,5.8,6.2,7.6,5.7,4.1,7.1,7.5,6.7,5.5,4.0,6.3,72.7,6.2,5.9,5.62486570333,7.47356321839,8.3,4.47577947101,5.2,5.9,5.5,5.72983449929,6.0,4.0,71.504042892,7.4,6.8,8.2,5.6,4.15048460939,8.14077278161,2.8,6.31494252874,7.0,6.6,3.41409844837,5.4,71.9202983681,7.5,6.1,4.17865168539,7.9,6.5,4.9,6.05384845222,7.9,5.1,6.1,2.39213483146,6.10732484076,71.8319598098,8.6,4.7,6.5,7.4,5.7,5.7,6.8,6.7,5.8,4.4,6.7,5.6,71.3,5.3
Kuwait ,5.7,4.0,7.5,4.5,4.0,6.5,6.8,2.8,3.0,4.5,5.5,60.8,6.0,5.9,8.3,5.7,5.0,7.9,5.1,6.5,6.5,4.1,3.6,5.9,71.6,7.1,6.3,5.2,5.1,5.7,7.9,5.4,6.4,6.4,5.7,3.6,6.7,72.2,7.8,6.0,6.4,7.6,5.5,4.0,6.8,7.7,6.4,5.3,3.9,6.5,72.5,6.4,6.0,6.2,5.8,6.4,6.7,5.8,6.5,6.6,5.1,3.7,6.0,72.5,7.7,6.024383929,6.7,5.7724137931,6.1,7.0,5.6,6.1,6.13429954196,4.9,3.5,5.78431948798,71.115416752,7.5,6.1,5.74139513109,5.075,6.2,8.57961358077,4.7,6.5,6.1,5.70076158335,3.48774745853,6.1484603442,71.4329780979,7.1,4.9,6.16797752809,7.0,5.7,6.0,6.8,6.56150274372,5.88571428571,4.4,7.03626270733,5.29785605964,71.3493133245,5.6,6.7,5.8,5.1,6.1,5.6,6.0,5.8,4.9,6.3,4.3,7.6,71.1,6.9
Ghana ,5.5,4.5,3.5,5.0,8.0,4.4,5.5,4.0,6.8,4.5,2.0,60.5,6.8,6.5,6.0,7.9,7.0,7.5,5.9,7.5,5.0,4.5,3.6,3.0,71.4,7.0,7.0,6.5,4.8,5.8,7.0,5.1,6.1,6.0,5.7,4.0,5.8,72.2,8.4,6.4,4.4,7.5,6.5,6.0,6.9,7.9,5.9,6.0,1.3,5.3,72.0,7.9,6.2,3.9,7.5,6.3,5.8,6.7,8.3,6.2,5.8,1.5,5.9,72.1,8.0,4.5,6.21050045751,6.72844827586,7.4,6.66652872657,5.0,6.7,6.2,4.2,4.6,6.0,71.0054774599,6.8,5.8013898294,6.4,5.7724137931,6.1,7.3,5.3,6.4,6.6,4.99069430348,3.21013911182,5.78431948798,71.1610788564,7.50212233057,5.65350390346,6.34606741573,5.7724137931,6.1,7.6,5.4,6.1,7.1,5.3,3.00956393793,5.78431948798,71.1658685382,7.0,5.9,6.2,5.1,6.2,8.8,4.1,5.6,6.7,6.3,4.1,5.5,71.0,6.5
Panama ,6.5,4.0,3.0,4.5,5.0,4.8,4.9,5.7,5.8,2.6,5.3,59.6,7.5,6.9,6.7,6.7,5.5,4.7,6.7,7.9,4.0,4.1,5.0,6.2,71.3,6.9,7.0,5.5,4.0,6.0,5.1,6.0,5.7,6.0,7.0,5.5,6.0,70.9,7.1,7.2,8.0,5.5,4.5,8.3,3.0,6.6,6.6,6.8,3.1,5.3,71.9,7.0,6.9,8.1,5.3,5.1,8.0,4.5,6.4,6.2,5.1,3.1,5.8,71.1,6.6,5.5,5.9,7.7,6.0,3.83457260466,6.9,7.2,6.2,5.1,3.8,6.21476224871,70.2493348534,5.9,7.07319269705,6.332096053,3.52212643678,5.6,6.8,5.2,4.40029134422,6.4,6.64224118722,5.3,5.2,70.9524675555,8.48251983719,5.8,5.93249531835,5.075,5.9,8.49435224493,4.4,6.2,6.6,6.0,3.8,5.8,70.8018475633,6.8,5.9,6.5,7.2,4.8,6.0,7.0,6.8,4.8,4.9,5.0,6.0,70.8,5.9
