last_updated,country_latitude,country,country_en,country_longitude,value,month,country_total,month_en,year,date
1492207200,38.81,GRE,Greece,23.21,955,1,387520,January,2014,2014-01
1492207200,38.81,GRE,Greece,23.21,1001,2,387520,February,2014,2014-02
1492207200,38.81,GRE,Greece,23.21,1501,3,387520,March,2014,2014-03
1492207200,38.81,GRE,Greece,23.21,1257,4,387520,April,2014,2014-04
1492207200,38.81,GRE,Greece,23.21,1703,5,387520,May,2014,2014-05
1492207200,38.81,GRE,Greece,23.21,3198,6,387520,June,2014,2014-06
1492207200,38.81,GRE,Greece,23.21,3927,7,387520,July,2014,2014-07
1492207200,38.81,GRE,Greece,23.21,6742,8,387520,August,2014,2014-08
1492207200,38.81,GRE,Greece,23.21,7454,9,387520,September,2014,2014-09
1492207200,38.81,GRE,Greece,23.21,7432,10,387520,October,2014,2014-10
1492207200,38.81,GRE,Greece,23.21,3812,11,387520,November,2014,2014-11
1492207200,38.81,GRE,Greece,23.21,2056,12,387520,December,2014,2014-12
1492207200,38.81,GRE,Greece,23.21,1690,1,387520,January,2015,2015-01
1492207200,38.81,GRE,Greece,23.21,2945,2,387520,February,2015,2015-02
1492207200,38.81,GRE,Greece,23.21,7634,3,387520,March,2015,2015-03
1492207200,38.81,GRE,Greece,23.21,13133,4,387520,April,2015,2015-04
1492207200,38.81,GRE,Greece,23.21,18444,5,387520,May,2015,2015-05
1492207200,38.81,GRE,Greece,23.21,30717,6,387520,June,2015,2015-06
1492207200,38.81,GRE,Greece,23.21,51951,7,387520,July,2015,2015-07
1492207200,38.81,GRE,Greece,23.21,107843,8,387520,August,2015,2015-08
1492207200,38.81,GRE,Greece,23.21,153163,9,387520,September,2015,2015-09
1494799200,41.57,ITA,Italy,14.6,2171,1,131000,January,2014,2014-01
1494799200,41.57,ITA,Italy,14.6,3335,2,131000,February,2014,2014-02
1494799200,41.57,ITA,Italy,14.6,5459,3,131000,March,2014,2014-03
1494799200,41.57,ITA,Italy,14.6,15679,4,131000,April,2014,2014-04
1494799200,41.57,ITA,Italy,14.6,14599,5,131000,May,2014,2014-05
1494799200,41.57,ITA,Italy,14.6,22641,6,131000,June,2014,2014-06
1494799200,41.57,ITA,Italy,14.6,24031,7,131000,July,2014,2014-07
1494799200,41.57,ITA,Italy,14.6,24774,8,131000,August,2014,2014-08
1494799200,41.57,ITA,Italy,14.6,26107,9,131000,September,2014,2014-09
1494799200,41.57,ITA,Italy,14.6,15277,10,131000,October,2014,2014-10
1494799200,41.57,ITA,Italy,14.6,9295,11,131000,November,2014,2014-11
1494799200,41.57,ITA,Italy,14.6,6732,12,131000,December,2014,2014-12
1494799200,41.57,ITA,Italy,14.6,3528,1,131000,January,2015,2015-01
1494799200,41.57,ITA,Italy,14.6,4354,2,131000,February,2015,2015-02
1494799200,41.57,ITA,Italy,14.6,2283,3,131000,March,2015,2015-03
1494799200,41.57,ITA,Italy,14.6,16063,4,131000,April,2015,2015-04
1494799200,41.57,ITA,Italy,14.6,21235,5,131000,May,2015,2015-05
1494799200,41.57,ITA,Italy,14.6,22891,6,131000,June,2015,2015-06
1494799200,41.57,ITA,Italy,14.6,23186,7,131000,July,2015,2015-07
1494799200,41.57,ITA,Italy,14.6,22609,8,131000,August,2015,2015-08
1494799200,41.57,ITA,Italy,14.6,14851,9,131000,September,2015,2015-09
1492207200,35.8833,MTA,Malta,14.5,0,1,99,January,2014,2014-01
1492207200,35.8833,MTA,Malta,14.5,0,2,99,February,2014,2014-02
1492207200,35.8833,MTA,Malta,14.5,91,3,99,March,2014,2014-03
1492207200,35.8833,MTA,Malta,14.5,0,4,99,April,2014,2014-04
1492207200,35.8833,MTA,Malta,14.5,0,5,99,May,2014,2014-05
1492207200,35.8833,MTA,Malta,14.5,136,6,99,June,2014,2014-06
1492207200,35.8833,MTA,Malta,14.5,81,7,99,July,2014,2014-07
1492207200,35.8833,MTA,Malta,14.5,257,8,99,August,2014,2014-08
1492207200,35.8833,MTA,Malta,14.5,3,9,99,September,2014,2014-09
1492207200,35.8833,MTA,Malta,14.5,0,10,99,October,2014,2014-10
1492207200,35.8833,MTA,Malta,14.5,0,11,99,November,2014,2014-11
1492207200,35.8833,MTA,Malta,14.5,0,12,99,December,2014,2014-12
1492207200,35.8833,MTA,Malta,14.5,87,1,99,January,2015,2015-01
1492207200,35.8833,MTA,Malta,14.5,0,2,99,February,2015,2015-02
1492207200,35.8833,MTA,Malta,14.5,0,3,99,March,2015,2015-03
1492207200,35.8833,MTA,Malta,14.5,5,4,99,April,2015,2015-04
1492207200,35.8833,MTA,Malta,14.5,0,5,99,May,2015,2015-05
1492207200,35.8833,MTA,Malta,14.5,2,6,99,June,2015,2015-06
1492207200,35.8833,MTA,Malta,14.5,0,7,99,July,2015,2015-07
1492207200,35.8833,MTA,Malta,14.5,0,8,99,August,2015,2015-08
1492207200,35.8833,MTA,Malta,14.5,5,9,99,September,2015,2015-09
1500069600,40.4169,SPA,Spain,-3.7036,144,1,2338,January,2014,2014-01
1500069600,40.4169,SPA,Spain,-3.7036,33,2,2338,February,2014,2014-02
1500069600,40.4169,SPA,Spain,-3.7036,232,3,2338,March,2014,2014-03
1500069600,40.4169,SPA,Spain,-3.7036,148,4,2338,April,2014,2014-04
1500069600,40.4169,SPA,Spain,-3.7036,325,5,2338,May,2014,2014-05
1500069600,40.4169,SPA,Spain,-3.7036,246,6,2338,June,2014,2014-06
1500069600,40.4169,SPA,Spain,-3.7036,264,7,2338,July,2014,2014-07
1500069600,40.4169,SPA,Spain,-3.7036,1705,8,2338,August,2014,2014-08
1500069600,40.4169,SPA,Spain,-3.7036,380,9,2338,September,2014,2014-09
1500069600,40.4169,SPA,Spain,-3.7036,341,10,2338,October,2014,2014-10
1500069600,40.4169,SPA,Spain,-3.7036,211,11,2338,November,2014,2014-11
1500069600,40.4169,SPA,Spain,-3.7036,319,12,2338,December,2014,2014-12
1500069600,40.4169,SPA,Spain,-3.7036,241,1,2338,January,2015,2015-01
1500069600,40.4169,SPA,Spain,-3.7036,44,2,2338,February,2015,2015-02
1500069600,40.4169,SPA,Spain,-3.7036,267,3,2338,March,2015,2015-03
1500069600,40.4169,SPA,Spain,-3.7036,240,4,2338,April,2015,2015-04
1500069600,40.4169,SPA,Spain,-3.7036,438,5,2338,May,2015,2015-05
1500069600,40.4169,SPA,Spain,-3.7036,377,6,2338,June,2015,2015-06
1500069600,40.4169,SPA,Spain,-3.7036,346,7,2338,July,2015,2015-07
1500069600,40.4169,SPA,Spain,-3.7036,385,8,2338,August,2015,2015-08
1500069600,40.4169,SPA,Spain,-3.7036,0,9,2338,September,2015,2015-09
