"Data Source","World Development Indicators",

"Last Updated Date","2016-04-11",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3671232222.36581","","","","",
"Andorra","AND","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23378628008.9566","25352757518.2174","25620370017.4831","28483515603.8497","30065529260.2352","34196594611.8752","35431559620.9183","42879503310.6483","46495656381.9102","49338254430.557","56460103813.5996","57566226636.3086","58321801153.3835","",
"Angola","AGO","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","152477494308.397","","","","",
"Albania","ALB","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14143174188.2809","9958350705.58184","9241349456.12343","10128519005.0137","10969186082.0982","12428087829.5188","13559043822.0049","12089534213.6147","13178662523.637","14957936599.5399","15955125469.4556","17222015310.3959","17950742673.9174","18987127109.3837","20071207874.841","21219445539.6664","22371876329.0055","23691817032.4168","25475810854.9578","26329250518.5989","27306065712.8389","28002370388.5163","28400004048.0332","28715244092.9664","29338364889.7838","",
"Arab World","ARB","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2235608834177.69","2184655737618.38","2298709092703.04","2387351184596.57","2464317916698.66","2534064731962.81","2659529270074.84","2788737152123.45","2950595670150.88","3053843844119.05","3196913379391.09","3277326673797.83","3324036991933.01","3437079068923.98","3766085442995.88","3993011702112.76","4271075452486.2","4509365485026.08","4794415692815.74","4888857132636.99","5115852955803.28","5259595980613.93","5599877569207.91","5759605002556.1","5874668178991.54","",
"United Arab Emirates","ARE","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","207446042374.442","209230248329.755","216228884793.029","218955943924.092","234055471065.361","249708835250.011","264187962469.82","285826009787.23","286660605569.141","294980108792.537","326993427459.775","331568343545.314","339636915994.235","369526801416.005","404877348750.762","424534715700.418","466297553229.818","481146286697.324","496503688390.757","470472387748.485","478166723968.765","503068685411.632","537748206291.78","560986243550.705","586624940177.145","",
"Argentina","ARG","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13241360919.5518","11692121893.0009","6804814620.36135","6205991015.94511","6541114703.9618","6992451514.34829","7402586817.78883","7648432625.56006","8206768207.22595","8477591558.06441","8977769459.99019","9835742701.57703","11132713293.7678","12695834751.5139","14024814656.6168","15969454960.225","18077104187.2779","20562561750.2571","21981378511.3708","18871015949.0773","19286178299.7958","20192628679.6198","21646497945.2151","22360832377.4072","23143461510.6165","",
"American Samoa","ASM","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1061918329.98783","1083543618.14792","1092734103.99863","1151633582.28571","1224504603.0546","1173359266.09462","1252438531.41179","1313630693.13452","1371531251.06693","1428060345.57257","1500059853.6245","1452144313.3616","1494608664.21308","1582994311.85634","1666678042.1096","1768065874.63781","2004569441.56413","2194982379.88446","2196543254.2552","1932166977.42596","1794152457.65239","1761975488.69485","1832798830.6538","1826452563.46429","1914523788.75601","",
"Australia","AUS","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","487585326637.218","485733070950.717","487671180065.786","507471287203.674","527962706650.705","548442593547.63","570101363344.3","592605212784.863","618906474696.507","649895718226.32","675037958852.29","688062052105.557","714598449899.921","736542329963.106","767104228441.761","791702517121.056","815317976252.411","845954836306.757","877311840045.512","893276092878.632","911304031483.534","932989069866.557","966881953234.219","990474347265.362","1015234732343.37","",
"Austria","AUT","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","238880456777.506","247101832000.574","252274969934.777","253603978400.661","259695847126.516","266624489921.866","273018983178.382","279039105379.387","288972805221.157","299346893531.896","309430117387.889","313609020879.341","318801931352.071","321212573120.354","329903760113.76","336965952489.904","348257113290.483","360869280948.85","366452880840.145","352531060880.045","359330232465.755","369420225149.471","372217897510.522","373413650565.206","374733559775.255","",
"Azerbaijan","AZE","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60946791249.6116","60520163735.2054","46842606492.2018","36021964603.9666","28925637570.1393","25512412076.7171","25844073484.6787","27343029882.1875","30077332946.4722","32303055759.463","35888694707.6342","39441675483.6899","43622492770.0479","48508212063.743","53456049887.4524","67568447489.7946","90879561542.8867","113643982480.432","125886190467.364","137732903988.907","144418926509.107","144514131462.76","147693442627.257","156254756508.811","159379851638.987","",
"Burundi","BDI","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5889202771.34675","6183476602.12475","6245929614.75962","5856183606.84845","5631891774.89984","5185845946.29076","4770978270.51632","4695119716.1487","4918137902.2932","4868464709.66697","4826748585.33385","4925977225.89982","5145011759.82077","5082050812.40967","5327699755.95462","5375649053.9108","5665109338.39415","5936231951.16376","6235899991.30929","6452187532.08544","6696461063.94965","6977151645.62124","7257588873.80706","7591006441.60571","7944817041.22708","",
"Belgium","BEL","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","303117890781.309","308674266910.655","313399004425.682","310384503764.887","320400523116.923","328041297726.209","333267510811.82","345633566684.792","352461379723.527","365019719793.741","378283869184.638","381353506590.958","388143323294.47","391149633596.871","405367143692.598","413856429642.331","424200623960.865","438612721017.864","441889610709.076","431792967774.688","443429034940.297","451396735849.573","452079517044.138","452154358211.117","458251031039.019","",
"Benin","BEN","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7281933690.29482","7589653601.86425","7814133607.97948","8270179892.73674","8437270644.12648","8947320414.76804","9334227962.98438","9869516848.74397","10260449609.1849","10808506330.4841","11441883947.698","12051783371.8559","12611524838.1216","13045871409.6567","13623755116.011","13856936260.6803","14403871439.8246","15266161439.334","16013194854.7505","16384577181.2719","16731414124.1439","17227124154.8024","18026983504.5949","19267058974.1864","20527411065.0534","",
